OP,"Heroically, with bravery"
OP,"I'll go on with my life, "
OP,"just a long, long time. "
OP,But if the two of us should get split up 
OP,"by whatever means, "
OP,"let go of me, "
OP,Take my revolution. 
Title,Utena ~ La Fillette Revolutionnaire 
OP,"In the sunny garden, we held each other's hands,"
OP,"drew close together and soothed each other with the words,"
OP,"""Neither of us will ever fall in love again."" "
OP,Everytime 
OP,Into this photograph of us 
OP,"smiling cheek to cheek, "
OP,"I took a bit of loneliness, "
OP,and crammed it inside. 
OP,Revolution! 
OP,"Even in my dreams, even through my tears, "
OP,"even though I'm being hurt, "
OP,"reality is approaching now, frantically. "
OP,What I want now is to find out 
OP,"just where I belong, "
OP,"and my self-worth, up through today. "
OP,"Heroically, I'll throw away "
OP,"my clothes 'til I'm nude, "
OP,"like the roses dancing all around me, whirling free."
OP,But if the two of us should get split up 
OP,"by whatever means, "
OP,"I swear to you, I will change the world."
Narrator,Once upon a time...
Narrator,...there was a princess grieving over the deaths of her mother and father.
Narrator,Before this princess appeared a prince traveling upon a white horse.
Narrator,"His appearance gallant, and his smile gentle, the prince enveloped the princess"
Narrator,in the scent of roses and wiped away her tears.
Prince,"""Little one bearing up alone under grief, "
Prince,"please lose not thy strength and nobility when thou growest up."""
Prince,"""As a token of this day, please retain this."""
Princess,"""Pray, shall we meet once more?"" "
Prince,"""This ring should guide thee to me."" "
Narrator,Was the ring from the prince meant as an engagement ring?
Narrator,"That part was good, "
Narrator,"but because of the strength of her admiration for the prince,"
Narrator,the princess made up her mind to become a prince herself!
Narrator,But is that really good for her? 
title,Plotting a Locus 
A-ko,"I wonder, I wonder... do you know what I wonder?"
B-ko,I heard that meddlesome brave warrior won yet another duel.
A-ko,Might is right! 
B-ko,And losers are bottomfeeders. 
A-ko&B-ko,"...and when she walks, she is as the lily."
A-ko,But dear brave warrior... 
B-ko,"Hey, you, no more sidetracking! "
A-ko&B-ko,"I wonder, I wonder... Do you know what I wonder?"
Touga,"If the world's shell does not break, we will die without being born."
Touga,"If the world's shell does not break, we will die without being born."
Touga,"If the world's shell does not break, we will die without being born."
Touga,"If the world's shell does not break, we will die without being born."
Touga,If the world's shell does not break... 
Akio,You still haven't woken yet? 
Akio,"Still here, unable to break the egg's shell?"
Akio,And even the Student Council President was defeated.
Akio,"In the end, she won her seventh trial, the Duel called ""Self."""
Akio,The sight of her being injured while protecting the Rose Bride...
Akio,...brought back some nostalgic memory. 
