OP,"Heroically, with bravery"
OP,"I'll go on with my life, "
OP,"just a long, long time. "
OP,But if the two of us should get split up
OP,"by whatever means, "
OP,"let go of me, "
OP,Take my revolution. 
Title,Utena - La Fillette Revolutionnaire 
OP,"In the sunny garden, we held each other's hands,"
OP,"drew close together and soothed each other with the words,"
OP,"""Neither of us will ever fall in love again."""
OP,Everytime 
OP,Into this photograph of us 
OP,"smiling cheek to cheek, "
OP,"I took a bit of loneliness, "
OP,and crammed it inside. 
OP,Revolution! 
OP,"Even in my dreams, even through my tears, "
OP,"even though I'm being hurt, "
OP,"reality is approaching now, frantically. "
OP,What I want now is to find out 
OP,"just where I belong, "
OP,"and my self-worth, up through today. "
OP,"Heroically, I'll throw away "
OP,"my clothes 'til I'm nude, "
OP,"like the roses dancing all around me, whirling free."
OP,But if the two of us should get split up
OP,"by whatever means, "
OP,"I swear to you, I will change the world. "
Narrator,Once upon a time... 
Narrator,...there was a princess grieving over the deaths of her mother and father.
Narrator,Before this princess appeared a prince traveling upon a white horse.
Narrator,"His appearance gallant and his smile gentle,"
Narrator,the prince enveloped the princess in the scent of roses and wiped away her tears.
Prince,"""Little lass bearing up alone under grief,"
Prince,"please lose not thy strength and nobility when thou growest up."""
Prince,"""As a token of this day, please retain this."""
Princess,"""Pray, shall we meet once more?"" "
Prince,"""This ring will guide thee to me."" "
Narrator,Was the ring from the prince meant as an engagement ring?
Narrator,"That part was good, "
Narrator,"but because of the strength of her adoration for the prince,"
Narrator,the princess made up her mind to become a prince herself!
Narrator,But is that really good for her? 
Title,On the Night of the Ball 
Utena,And I still have this ring here. 
Utena,So that encounter was real. 
Utena,"The Duel Arena, the Rose Bride... "
Utena,Did this ring guide me to all of that? 
Anthy,"Good morning, Utena-sama. "
Utena,I'm finished. 
Utena,Will we always have to have breakfast and dinner by ourselves like this?
Anthy,It's nice and quiet. 
Utena,You're... 
Anthy,Yes? 
Utena,"You're always by yourself in class, but do you really not have any friends?"
Anthy,"I do, right here. "
Utena,"Well, besides him... "
Utena,"Stop calling me ""Utena-sama,"" will you? "
Anthy,I shouldn't? 
girl,It's Utena-sama! 
girl,"Good morning, Utena-sama! "
Utena,"Hi, morning! "
girl,Utena-sama! 
girl,Good Morning! 
Utena,Morning! 
girl,'Morning! 
Utena,"I know, they call me Utena-sama, but... "
Utena,"when you say it, it doesn't sound like a joke."
Anthy,"But I've been engaged to you, Utena-sama. "
