Speaker,Line,Episode,Arc
OP,"Heroically, with bravery",1,1
OP,"I'll go on with my life, ",1,1
OP,"just a long, long time. ",1,1
OP,But if the two of us should get split up,1,1
OP,"by whatever means, ",1,1
OP,"let go of me, ",1,1
OP,Take my revolution. ,1,1
Title,Utena - La Fillette Revolutionnaire ,1,1
OP,"In the sunny garden, we held each other's hands,",1,1
OP,"drew close together and soothed each other with the words,",1,1
OP,"""Neither of us will ever fall in love again.""",1,1
OP,Everytime ,1,1
OP,Into this photograph of us ,1,1
OP,"smiling cheek to cheek, ",1,1
OP,"I took a bit of loneliness, ",1,1
OP,and crammed it inside. ,1,1
OP,Revolution! ,1,1
OP,"Even in my dreams, even through my tears, ",1,1
OP,"even though I'm being hurt, ",1,1
OP,"reality is approaching now, frantically. ",1,1
OP,What I want now is to find out ,1,1
OP,"just where I belong, ",1,1
OP,"and my self-worth, up through today. ",1,1
OP,"Heroically, I'll throw away ",1,1
OP,"my clothes 'til I'm nude, ",1,1
OP,"like the roses dancing all around me, whirling free.",1,1
OP,But if the two of us should get split up,1,1
OP,"by whatever means, ",1,1
OP,"I swear to you, I will change the world. ",1,1
Narration,Once upon a time... ,1,1
Narration,...there was a princess grieving over the deaths of her mother and father.,1,1
Narration,Before this princess appeared a prince traveling upon a white horse.,1,1
Narration,"His appearance gallant, and his smile gentle, the prince enveloped the princess",1,1
Narration,"in the scent of roses, and wiped away her tears.",1,1
Narration,"""Little one bearing up alone under grief, ",1,1
Narration,"please lose not thy strength and nobility when thou growest up.""",1,1
Narration,"""As a token of this day, please retain this.""",1,1
Narration,"""Pray, shall we meet once more?"" ",1,1
Narration,"""This ring should guide thee to me."" ",1,1
Narration,Was the ring from the prince meant as an engagement ring?,1,1
Narration,"That part was good, ",1,1
Narration,"but because of the strength of her admiration for the prince,",1,1
Narration,the princess made up her mind to become a prince herself!,1,1
Narration,But is that really good for her? ,1,1
Title,The Rose Bride ,1,1
Wakaba,It's late... ,1,1
Wakaba,"Man, how much longer should I have to wait?",1,1
Wakaba,I'm not going to be late the beginning of the new term.,1,1
Girl,Wakaba! ,1,1
Girl,What are you doing over there? ,1,1
Wakaba,Waiting to see my boyfriend! ,1,1
Girl,Boyfriend? ,1,1
Girl,"Ha ha.. guessed you got dumped, then. ",1,1
Girl,"Your ""boyfriend"" left the dorm earlier this morning.",1,1
Wakaba,"Why, you... how could you?! ",1,1
Title,Ohtori Academy Junior and Senior High School,1,1
Woman,Tenjou Utena-san. ,1,1
Woman,Do you plan to keep on wearing those strange clothes this semester?,1,1
Utena,Strange? ,1,1
Woman,Strange. ,1,1
Utena,All the boys are dressed like I am. ,1,1
Woman,You are a girl! ,1,1
Woman,So why do you keep on wearing a boy's uniform?,1,1
Utena,There's no rule here that says a girl can't wear a boy's uniform.,1,1
Utena,No problem then! ,1,1
Utena,"So, in that case... ",1,1
Woman,"You little... You're going to keep evading me this semester, too, aren't you...",1,1
Crowd,"Go, Utena-sama!! ",1,1
Boy,"Sheesh, skunked again... ",1,1
Girl,"Oh, Utena-sama, use my towel, too! ",1,1
Utena,"Sure, sure, wait your turn. ",1,1
Boy,"Say, Tenjou, if you'd just join our basketball team,",1,1
Boy,the local playoffs would be a sure thing! ,1,1
Utena,"Now look! I'm a girl, you know. ",1,1
Utena,"I don't like playing basketball with a bunch of stinking, sweaty boys.",1,1
Boy,"Why not? You're mighty boyish yourself, Tenjou.",1,1
Utena,Don't say such rude things. ,1,1
Boy,"Well then, why do you wear that boy's uniform? ",1,1
Utena,"That's ""prince."" ",1,1
Boy,Huh? ,1,1
Utena,"Instead of a princess to be protected, ",1,1
Utena,I want to become a dashing prince. ,1,1
Boy,What's that mean? ,1,1
Utena,That smell... ,1,1
Utena,It's the smell of roses. ,1,1
Utena,How long have I felt nostalgic over the scent of roses?,1,1
Utena,What's going on over there? ,1,1
